CHEM_ID	COMP_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB	KEGG
469	1510	Lipid	Sphingolipid Synthesis	HMDB0004610	C12144
480	1898	Amino Acid	Urea cycle; Arginine and Proline Metabolism	"HMDB0000162,HMDB0003411"	"C00148,C000763"
482	527	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	HMDB0000190	C00186
491	1651	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0001545	C00250
498	1806	Cofactors and Vitamins	Vitamin A Metabolism	HMDB0000305	C00473
500	1827	Cofactors and Vitamins	Riboflavin Metabolism	HMDB0000244	C00255
501	1515	Xenobiotics	Drug - Topical Agents	HMDB0001895	C00805
503	1648	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000187	C00065
504	2342	Amino Acid	Tryptophan Metabolism	HMDB0000259	C00780
507	603	Amino Acid	Polyamine Metabolism	HMDB0001256	C00750
512	2125	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000251	C00245
519	1365	Lipid	Long Chain Saturated Fatty Acid	HMDB0000806	C06424
523	15798	Cofactors and Vitamins	Thiamine Metabolism	HMDB0002666	C01081
535	606	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000296	C00299
536	52602	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000012	C00526
537	607	Amino Acid	Histidine Metabolism	HMDB0000301	C00785
561	57	Amino Acid	Glutamate Metabolism	HMDB0000148	"C00025,C00217"
563	53	Amino Acid	Glutamate Metabolism	HMDB0000641	C00064
564	1284	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000167	C00188
565	54	Amino Acid	Tryptophan Metabolism	HMDB0000929	C00078
566	1649	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000883	C00183
567	1504	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0001488	C00253
568	2150	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0001431	C00534
572	48152	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	HMDB0000122	C00031
798	555	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000050	C00212
799	3141	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000043	C00719
800	1868	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000574	C00097
803	48153	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	HMDB0000169	"C00159,C02209,C00936"
806	5086	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000092	C03626
811	1126	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000161	C00041
815	1299	Amino Acid	Tyrosine Metabolism	HMDB0000158	C00082
818	15872	Lipid	Fatty Acid Synthesis	HMDB0000691	C00383
821	33442	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000767	C02067
823	48990	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	HMDB0000243	C00022
825	605	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000300	C00106
826	15581	Carbohydrate	Pentose Metabolism	HMDB0000098	C00181
827	514	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0000089	C00475
828	575	Carbohydrate	Pentose Metabolism	HMDB0029942	C00216
872	2183	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	HMDB0000273	C00214
873	5341	Cofactors and Vitamins	Thiamine Metabolism	HMDB0000235	"DG00125,C00378,D08580"
878	48195	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	HMDB0000660	C00095
880	554	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000034	C00147
881	573	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0000630	C00380
882	604	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	HMDB0000262	C00178
888	1642	Lipid	Medium Chain Fatty Acid	HMDB0000511	C01571
891	1121	Lipid	Long Chain Saturated Fatty Acid	HMDB0002259	
892	1356	Lipid	Long Chain Saturated Fatty Acid	HMDB0000772	C16535
893	1118	Lipid	Long Chain Saturated Fatty Acid	HMDB0002212	C06425
913	15586	Carbohydrate	Glycogen Metabolism	HMDB0000163	C00208
914	1471	Carbohydrate	Pentose Metabolism	HMDB0000283	C00121
917	512	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000168	C00152
918	15587	Carbohydrate	Aminosugar Metabolism	"HMDB0000174,HMDB0029196"	"C01019,C01018"
922	1759	Lipid	Dihydroceramides		
923	601	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	HMDB03349	C00337
925	1644	Lipid	Medium Chain Fatty Acid	HMDB0000666	C17714
926	32489	Lipid	Medium Chain Fatty Acid	HMDB0000535	C01585
932	32492	Lipid	Medium Chain Fatty Acid	HMDB0000482	C06423
935	1519	Carbohydrate	Disaccharides and Oligosaccharides	HMDB0000258	C00089
936	608	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0000239	D08454
1001	32306	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000725	C01157
1002	1107	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000462	"C02348,C01551,C02350"
1003	1117	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	HMDB0000107	C01697
1004	3147	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000292	C00385
1021	1494	Amino Acid	Glutathione Metabolism	HMDB0000267	"C02237,C01879"
1022	1512	Amino Acid	Tryptophan Metabolism	HMDB0002243	C10164
1023	1516	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000271	C00213
1024	1508	Cofactors and Vitamins	Pantothenate and CoA Metabolism	HMDB0000210	C00864
1025	1444	Amino Acid	Lysine Metabolism		
1049	21106	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0002894	C02376
1052	1572	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	"HMDB0000139,HMDB0006372"	C00258
1053	3155	Nucleotide	"Pyrimidine Metabolism, Uracil containing"	HMDB0000026	C02642
1082	1587	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0011756	C02710
1083	1589	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0011745	C02712
1084	1591	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0011757	
1087	1552	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0002068	C08316
1090	43807	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0000054	C00486
1095	6104	Amino Acid	Tryptophan Metabolism	HMDB0000303	C00398
1099	1573	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0000133	C00387
1102	2734	Peptide	Gamma-glutamyl Amino Acid	HMDB0011741	
1105	1561	Cofactors and Vitamins	Tocopherol Metabolism	HMDB0001893	C02477
1107	1586	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0001890	C06809
1108	1594	Nucleotide	"Pyrimidine Metabolism, Orotate containing"	HMDB0000828	C00438
1110	1585	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000766	C02847
1113	1558	Amino Acid	Polyamine Metabolism	HMDB0003681	C02946
1114	1566	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	HMDB0002166	C05145
1115	1568	Xenobiotics	Benzoate Metabolism	HMDB0000822	C03198
1124	1564	Energy	TCA Cycle	HMDB0000094	C00158
1133	1603	Amino Acid	Tyrosine Metabolism	HMDB0000306	C00483
1134	1604	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000289	C00366
1136	33443	Lipid	Short Chain Fatty Acid	HMDB0000892	C00803
1137	38102	Lipid	Endocannabinoid	HMDB0002088	
1140	2730	Peptide	Gamma-glutamyl Amino Acid	HMDB0011738	C05283
1141	1669	Amino Acid	Tyrosine Metabolism	HMDB0000707	C01179
1143	40605	Lipid	Short Chain Fatty Acid	HMDB0000039	C00246
1162	32377	Carbohydrate	Aminosugar Metabolism	HMDB0000230	C00270
1207	12142	Amino Acid	Phenylalanine Metabolism	HMDB0012275	C05332
1215	48149	Carbohydrate	Aminosugar Metabolism	HMDB0000489	C04540
1216	35469	Carbohydrate	Aminosugar Metabolism	HMDB01104	C01239
1221	27718	Amino Acid	Creatine Metabolism	HMDB0000064	C00300
1231	17805	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0005060	C16525
1235	18245	Peptide	Gamma-glutamyl Amino Acid	HMDB0029151	
1239	17945	Lipid	"Fatty Acid, Monohydroxy"	HMDB0062549	"C03042,C03045"
1242	15650	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0003331	C02494
1248	12023	Nucleotide	"Pyrimidine Metabolism, Thymine containing"	HMDB0001227	C00364
1254	15122	Lipid	Glycerolipid Metabolism	HMDB0000131	C00116
1256	15506	Lipid	Phospholipid Metabolism	HMDB0000097	C00114
1258	57746	Amino Acid	Tryptophan Metabolism	HMDB0001123	C00108
1268	18369	Peptide	Gamma-glutamyl Amino Acid	HMDB0011171	
1276	17665	Xenobiotics	Benzoate Metabolism	HMDB0011718	C00633
1442	12129	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000754	
1488	32463	Lipid	Endocannabinoid	HMDB0004080	C11695
1489	38165	Lipid	Endocannabinoid	HMDB0002100	C16512
1518	44877	Lipid	Ceramides	HMDB0004949	
1526	19263	Lipid	Phosphatidylethanolamine (PE)	HMDB0005320	
1537	42446	Lipid	Phosphatidylcholine (PC)	HMDB0007973	
1538	19503	Lipid	Sphingomyelins	HMDB0001348	C00550
1539	52461	Lipid	Phosphatidylcholine (PC)	HMDB0007972	C13875
1547	54979	Lipid	Ceramides	HMDB0004950	
1548	12358	Cofactors and Vitamins	Tetrahydrobiopterin Metabolism	HMDB0000468	C06313
1629	18494	Lipid	Primary Bile Acid Metabolism	HMDB0000951	C05465
1648	18497	Lipid	Primary Bile Acid Metabolism	HMDB0000036	C05122
1668	12261	Lipid	Secondary Bile Acid Metabolism	HMDB0000896	C05463
2029	18362	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000784	C08261
2050	18467	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0001999	C06428
2051	15745	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0001844	
2053	15729	Energy	TCA Cycle	HMDB0031193	C19806
2054	15765	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000622	
100000007	15500	Lipid	Carnitine Metabolism	HMDB0000062	"C00487,C00308"
100000008	15778	Xenobiotics	Benzoate Metabolism	HMDB0001870	C00180
100000010	15749	Xenobiotics	Benzoate Metabolism	HMDB0000764	C05629
100000011	57745	Amino Acid	Phenylalanine Metabolism	HMDB0000209	C07086
100000015	15679	Amino Acid	Tryptophan Metabolism	HMDB0000881	C02470
100000016	15730	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000893	C08278
100000036	15676	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000491	"C03465,C06008,C00671"
100000039	18374	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0002005	C02989
100000044	15747	Amino Acid	Histidine Metabolism	HMDB0000194	C01262
100000054	15685	Amino Acid	Lysine Metabolism	HMDB0000450	C16741
100000096	15681	Amino Acid	Guanidino and Acetamido Metabolism	HMDB0003464	C01035
100000098	27673	Cofactors and Vitamins	Thiamine Metabolism	HMDB0032985	C04294
100000101	15704	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000857	C02656
100000103	15496	Amino Acid	Polyamine Metabolism	HMDB0001432	C00179
100000115	15130	Xenobiotics	Bacterial/Fungal	HMDB0001370	"C00680,C0666"
100000125	15949	Nucleotide	"Pyrimidine Metabolism, Cytidine containing"	HMDB0000014	C00881
100000135	15076	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000071	C05512
100000146	15135	Xenobiotics	Food Component/Plant	HMDB0033161	
100000251	15797	Cofactors and Vitamins	Riboflavin Metabolism	HMDB0001520	C00061
100000257	15443	Carbohydrate	Aminosugar Metabolism	HMDB0000127	C16245
100000258	43847	Lipid	Glycerolipid Metabolism	HMDB0000126	C0093
100000263	15716	Amino Acid	Histidine Metabolism	HMDB0002320	C05568
100000265	15140	Amino Acid	Tryptophan Metabolism	HMDB0000684	C00328
100000269	15990	Lipid	Phospholipid Metabolism	HMDB0000086	C00670
100000272	15142	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0004041	C05519
100000282	15720	Amino Acid	Glutamate Metabolism	HMDB0001138	C00624
100000283	18354	Carbohydrate	Aminosugar Metabolism	HMDB0060493	C02713
100000285	32984	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0003357	C00437
100000292	39321	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	HMDB0000241	C02191
100000295	15336	Xenobiotics	Food Component/Plant	"HMDB0000956,HMDB0062642"	"C00552,C02107,C00898"
100000299	15136	Nucleotide	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	HMDB0000299	C01762
100000406	15772	Carbohydrate	Pentose Metabolism	"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508"	"C00379,C01904,C00474,C00532"
100000409	15667	Xenobiotics	Food Component/Plant	HMDB0000402	C02504
100000436	18477	Lipid	Secondary Bile Acid Metabolism	HMDB00631	C05464
100000442	18335	Xenobiotics	Food Component/Plant	HMDB0003072	C00296
100000447	18280	Amino Acid	Tyrosine Metabolism	HMDB0000152	C00628
100000454	18319	Amino Acid	Lysine Metabolism	HMDB0003355	C00431
100000458	18351	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000719	C00263
100000463	18349	Amino Acid	Tryptophan Metabolism	HMDB0000671	C02043
100000485	46333	Nucleotide	"Purine Metabolism, Adenine containing"	HMDB0000905	C00360
100000487	18357	Peptide	Dipeptide	HMDB0028854	
100000491	33422	Peptide	Gamma-glutamyl Amino Acid	HMDB0000594	
100000551	22116	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000695	C00233
100000580	20675	Carbohydrate	"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"	HMDB0002712	C07326
100000631	19385	Lipid	Ceramides	HMDB0004948	
100000641	52448	Lipid	Phosphatidylglycerol (PG)		
100000652	52625	Lipid	Phosphatidylglycerol (PG)	HMDB0010570	
100000656	19324	Lipid	Lysophospholipid	HMDB0240261	
100000657	19130	Lipid	Phosphatidylcholine (PC)	HMDB0000564	D03585
100000665	44675	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0002183	C06429
100000672	19258	Lipid	Phosphatidylcholine (PC)	HMDB0007869	
100000700	21365	Carbohydrate	Aminosugar Metabolism	HMDB0000814	C04132
100000706	22132	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	"HMDB0000665,HMDB00746,HMDB0000624"	C03264
100000707	20676	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000176	C01384
100000708	44656	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000718	C08262
100000715	48114	Amino Acid	Guanidino and Acetamido Metabolism	HMDB0001522	C02294
100000772	48118	Lipid	Mevalonate Metabolism	HMDB0006024	
100000773	22001	Lipid	"Fatty Acid, Monohydroxy"	HMDB0001954	C20793
100000774	22130	Amino Acid	Phenylalanine Metabolism	"HMDB0000779,HMDB0000563"	C05607
100000776	44681	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"	HMDB0000222	C02990
100000781	32328	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"	HMDB0000756	
100000787	22185	Amino Acid	Alanine and Aspartate Metabolism	HMDB0000812	C01042
100000800	22114	Amino Acid	Tryptophan Metabolism	HMDB0000734	
100000802	32198	Lipid	"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"	HMDB0000201	C02571
100000805	22117	Xenobiotics	Chemical		
100000808	22176	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	HMDB0000731	C05824
100000809	27680	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0002658	C01020
100000827	21127	Lipid	Monoacylglycerol	HMDB0011564	
100000837	20691	Xenobiotics	Chemical	HMDB0004437	C06772
100000840	20693	Xenobiotics	Food Component/Plant	HMDB0035227	C02287
100000841	20694	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	HMDB0002329	C00209
100000869	21150	Xenobiotics	Food Component/Plant	HMDB0032616	C00482
100000873	20758	Xenobiotics	Food Component/Plant	HMDB0002545	C08348
100000920	44663	Xenobiotics	Food Component/Plant	HMDB0002670	C00509
100000923	21183	Lipid	Sterol	HMDB0000937	C05442
100000924	21184	Lipid	Monoacylglycerol	HMDB0011567	
100000935	21189	Xenobiotics	Food Component/Plant	HMDB0002124	C01477
100000936	44526	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	HMDB0000019	C00141
100000943	21232	Lipid	Monoacylglycerol	HMDB0011537	
100000956	21239	Lipid	"Fatty Acid, Monohydroxy"	HMDB0061914	
100000963	22138	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000679	C02427
100000987	32506	Lipid	Monoacylglycerol	HMDB0011538	
100000989	22202	Xenobiotics	Chemical	HMDB0032538	C06771
100001006	27710	Amino Acid	"Glycine, Serine and Threonine Metabolism"	HMDB0000532	
100001007	27731	Carbohydrate	Pentose Metabolism	HMDB0000867	C01685
100001020	27553	Lipid	Sterol	HMDB0000878	C01694
100001022	27738	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	"HMDB0062620,HMDB0000943"	C01620
100001026	27719	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	HMDB0000565	"C00880,C15930"
100001033	27414	Lipid	Sterol	HMDB0000852	C01753
100001034	27513	Amino Acid	Tryptophan Metabolism	HMDB0000197	C00954
100001040	27447	Lipid	Monoacylglycerol	HMDB0011568	
100001048	33419	Lipid	Monoacylglycerol	HMDB0011533	
100001051	30460	Amino Acid	Histidine Metabolism	HMDB0000001	C01152
100001054	32412	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0002013	C02862
100001062	43835	Lipid	Secondary Bile Acid Metabolism	HMDB00502	
100001063	31904	Lipid	Secondary Bile Acid Metabolism	HMDB0000391	
100001065	31889	Lipid	Secondary Bile Acid Metabolism	HMDB0000722	C02592
100001066	31885	Lipid	Primary Bile Acid Metabolism	HMDB0000415	C17726
100001067	31891	Lipid	Secondary Bile Acid Metabolism	HMDB00502	
100001068	46336	Lipid	Secondary Bile Acid Metabolism		
100001070	31906	Lipid	Secondary Bile Acid Metabolism		
100001083	32405	Amino Acid	Tryptophan Metabolism	HMDB0002302	
100001092	32401	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	HMDB0000875	C01004
100001102	32388	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000623	C02678
100001103	33487	Amino Acid	Glutamate Metabolism	HMDB0061715	
100001104	32390	Amino Acid	Tyrosine Metabolism	HMDB0000866	
100001112	32457	Lipid	"Fatty Acid, Monohydroxy"	HMDB0000387	
100001121	31555	Cofactors and Vitamins	Vitamin B6 Metabolism	HMDB0000017	C00847
100001125	31530	Peptide	Dipeptide	HMDB0029068	
100001126	43829	Peptide	Gamma-glutamyl Amino Acid	HMDB0011172	
100001133	32395	Nucleotide	"Purine Metabolism, Guanine containing"	HMDB0003282	
100001143	31936	Lipid	"Fatty Acid, Monohydroxy"	HMDB0000325	
100001145	31943	Lipid	"Fatty Acid, Monohydroxy"	HMDB0000350	
100001153	31934	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000321	C02360
100001162	32452	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	HMDB0000824	C03017
100001181	32504	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	"HMDB0006528,HMDB0001976"	C16513
100001182	32415	Lipid	Long Chain Polyunsaturated Fatty Acid (n3 and n6)	HMDB0061714	C16533
100001198	32418	Lipid	Long Chain Monounsaturated Fatty Acid	HMDB0002000	C08322
100001204	43831	Amino Acid	Histidine Metabolism	HMDB0000898	C05127
100001207	32349	Amino Acid	Histidine Metabolism	HMDB0002024	C02835
100001208	32350	Amino Acid	Histidine Metabolism	HMDB0002820	C05828
100001211	32398	Lipid	"Fatty Acid, Dicarboxylate"	HMDB0000792	C08277
